Date,Open,High,Low,Close,Adj Close,Volume
2020-01-13,1658.979980,1669.609985,1652.319946,1669.609985,1669.609985,34563800
2020-01-14,1668.390015,1684.339966,1662.859985,1675.739990,1675.739990,36651300
2020-01-15,1673.689941,1688.119995,1673.400024,1682.400024,1682.400024,37168400
2020-01-16,1691.819946,1706.170044,1691.819946,1705.219971,1705.219971,35350800
2020-01-17,1712.930054,1715.079956,1697.689941,1699.640015,1699.640015,36981700
2020-01-21,1695.449951,1695.449951,1684.260010,1685.900024,1685.900024,41053400
2020-01-22,1691.069946,1694.369995,1682.939941,1684.459961,1684.459961,36198500
2020-01-23,1680.540039,1687.849976,1666.469971,1685.010010,1685.010010,37648600
2020-01-24,1687.810059,1689.150024,1653.189941,1662.229980,1662.229980,37071300
2020-01-27,1660.819946,1660.819946,1632.260010,1644.140015,1644.140015,38231000
2020-01-28,1651.130005,1661.189941,1651.130005,1658.310059,1658.310059,35267200
2020-01-29,1661.079956,1663.770020,1649.000000,1649.219971,1649.219971,35845000
2020-01-30,1641.469971,1648.430054,1630.939941,1648.219971,1648.219971,37872500
2020-01-31,1643.689941,1643.689941,1610.640015,1614.060059,1614.060059,45278300
2020-02-03,1618.800049,1636.880005,1618.800049,1632.209961,1632.209961,37579100
2020-02-04,1644.420044,1661.000000,1644.420044,1656.770020,1656.770020,39953200
2020-02-05,1667.949951,1682.959961,1667.380005,1681.920044,1681.920044,41177300
2020-02-06,1685.439941,1689.170044,1677.290039,1677.459961,1677.459961,38683700
2020-02-07,1673.530029,1673.530029,1654.310059,1656.780029,1656.780029,37306500
2020-02-10,1654.920044,1667.699951,1653.670044,1667.670044,1667.670044,34503500
2020-02-11,1674.500000,1686.010010,1674.000000,1677.510010,1677.510010,37605500
2020-02-12,1684.390015,1690.060059,1683.020020,1689.380005,1689.380005,39263800
2020-02-13,1684.579956,1696.540039,1680.380005,1693.739990,1693.739990,34982400
2020-02-14,1694.869995,1695.170044,1683.469971,1687.579956,1687.579956,33980400
2020-02-18,1686.030029,1687.380005,1674.599976,1683.520020,1683.520020,37467200
2020-02-19,1685.329956,1698.160034,1685.329956,1692.569946,1692.569946,36001500
2020-02-20,1689.420044,1698.910034,1677.619995,1696.069946,1696.069946,40073200
2020-02-21,1694.729980,1694.729980,1673.199951,1678.609985,1678.609985,38992700
2020-02-24,1676.650024,1676.650024,1620.140015,1628.099976,1628.099976,48429600
2020-02-25,1630.869995,1633.109985,1568.969971,1571.900024,1571.900024,55915100
2020-02-26,1572.270020,1588.319946,1551.390015,1552.760010,1552.760010,54781100
2020-02-27,1545.250000,1553.979980,1495.890015,1497.869995,1497.869995,70588400
2020-02-28,1496.829956,1496.829956,1448.209961,1476.430054,1476.430054,85638500
2020-03-02,1476.589966,1518.510010,1463.060059,1518.489990,1518.489990,63764000
2020-03-03,1518.520020,1539.739990,1472.739990,1486.079956,1486.079956,63559400
2020-03-04,1500.150024,1531.199951,1494.579956,1531.199951,1531.199951,50354800
2020-03-05,1522.849976,1522.849976,1462.920044,1478.819946,1478.819946,55755500
2020-03-06,1476.630005,1476.630005,1417.270020,1449.219971,1449.219971,65521400
2020-03-09,1396.239990,1396.239990,1310.760010,1313.439941,1313.439941,84230500
2020-03-10,1329.880005,1351.479980,1288.930054,1350.900024,1350.900024,76359600
2020-03-11,1349.239990,1349.239990,1249.280029,1264.300049,1264.300049,73741100
2020-03-12,1253.869995,1253.869995,1121.719971,1122.930054,1122.930054,88293800
2020-03-13,1153.760010,1210.130005,1109.390015,1210.130005,1210.130005,82586700
2020-03-16,1174.969971,1174.969971,1035.189941,1037.420044,1037.420044,77815400
2020-03-17,1043.869995,1106.680054,1011.950012,1106.510010,1106.510010,83585000
2020-03-18,1057.650024,1062.880005,966.219971,991.159973,991.159973,87557800
2020-03-19,988.710022,1069.150024,968.859985,1058.750000,1058.750000,79467100
2020-03-20,1064.719971,1087.719971,1009.530029,1013.890015,1013.890015,90446900
2020-03-23,1014.080017,1017.890015,966.419983,1002.400024,1002.400024,74021800
2020-03-24,1041.069946,1096.540039,1041.069946,1096.540039,1096.540039,75473500
2020-03-25,1100.140015,1146.810059,1075.849976,1110.369995,1110.369995,82856700
2020-03-26,1116.300049,1180.319946,1116.300049,1180.319946,1180.319946,77531600
2020-03-27,1163.920044,1163.920044,1125.680054,1131.989990,1131.989990,61943300
2020-03-30,1134.140015,1158.640015,1119.949951,1158.319946,1158.319946,57462200
2020-03-31,1155.680054,1164.630005,1130.339966,1153.099976,1153.099976,65682900
2020-04-01,1127.729980,1127.729980,1064.599976,1071.989990,1071.989990,59479000
2020-04-02,1071.459961,1102.359985,1055.599976,1085.810059,1085.810059,64549900
2020-04-03,1082.900024,1082.900024,1035.390015,1052.050049,1052.050049,60871900
2020-04-06,1085.880005,1139.930054,1085.880005,1138.780029,1138.780029,63918600
2020-04-07,1158.170044,1190.979980,1133.550049,1139.170044,1139.170044,70407200
2020-04-08,1151.010010,1197.170044,1147.260010,1191.660034,1191.660034,58563700
2020-04-09,1212.660034,1250.130005,1212.660034,1246.729980,1246.729980,78801400
